연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
1,1,150,서울역(1),555352,581550,718900,729991,727515,752082,646221,616092,637510,750159,849938,795958
2,1,151,시청(1),326347,327977,420493,422512,399869,427819,377912,352953,357149,404747,473082,448330
3,1,152,종각,555805,570739,718514,709988,686520,735552,638324,595015,581546,657816,763672,724786
4,1,153,종로3가(1),277482,301303,384499,375685,373782,380071,346681,337015,336001,384514,395693,369822
5,1,154,종로5가,379510,385870,493792,481135,473420,489562,433931,409221,420490,472625,483349,469798
6,1,155,동대문(1),154301,158312,197114,196387,204583,199695,176007,164668,178480,196099,196151,183141
7,1,156,신설동(1),195577,194061,242588,239632,227533,238782,220130,208653,212273,228753,240778,230506
8,1,157,제기동,309584,306170,369053,363221,345369,351947,318245,315025,344447,358311,357068,334324
9,1,158,청량리,340371,343933,409595,404498,399609,401483,366985,359045,373712,399609,399687,382670
10,1,159,동묘앞(1),146297,154082,189561,189487,191778,180988,152668,155445,173143,193274,176906,159128
11,2,201,시청(2),246118,240031,300280,292340,261570,290712,263879,246780,234818,256665,309615,296762
12,2,202,을지로입구,447014,434738,534063,521366,483733,531998,475017,447555,437129,478350,551752,572039
13,2,203,을지로3가(2),224229,220034,275289,274627,261341,289587,254269,238095,230387,253617,301640,299832
14,2,204,을지로4가(2),120483,113004,139433,137435,129605,140031,128015,122507,119075,131322,144790,142504
15,2,205,동대문역사문화공원(2),91052,91080,117827,112554,113092,115291,102575,97740,98969,113586,120005,123064
16,2,206,신당(2),145915,146200,179820,176119,173514,173516,159268,154552,157165,173790,178468,179405
17,2,207,상왕십리,154713,150510,187405,185427,180957,188003,171264,164665,164022,178846,188460,188210
18,2,208,왕십리(2),123953,127139,157592,151167,152563,149987,131432,121432,118498,145044,160949,161795
19,2,209,한양대,78829,76807,123014,131096,113783,125121,85776,77452,80920,105924,138242,118136
20,2,210,뚝섬,269967,273847,343595,355627,338666,367807,311076,294192,295046,321685,352411,350033
21,2,211,성수,460519,463304,572991,567163,542314,584333,532923,505775,505405,545724,611353,604820
22,2,212,건대입구(2),275513,271330,344418,338649,355728,346987,298832,288759,296615,340525,369903,352080
23,2,213,구의,215114,208987,249771,247473,242766,248305,231721,221576,220917,239913,255308,252023
24,2,214,강변,232399,254806,295246,294762,302290,299096,268482,260363,276796,304533,312142,292399
25,2,215,잠실나루,130912,126295,160467,159626,150841,160834,143274,138348,138295,153443,165609,156410
26,2,216,잠실(2),492989,527802,634678,627184,645975,647003,550384,536515,550009,660349,716197,719089
27,2,217,잠실새내,182834,182972,223059,221449,221145,223943,200530,190559,192679,215278,234361,224813
28,2,218,종합운동장(2),59025,60441,84858,99547,98004,103717,76077,67147,70956,87230,133532,85663
29,2,219,삼성,462885,462013,598556,572095,555284,601376,486075,473031,465315,543010,645577,640792
30,2,220,선릉,443118,424242,539837,522211,483742,531078,477715,444649,432380,481927,552318,535629
31,2,221,역삼,544861,530506,675533,663628,622986,688219,603607,564090,550979,610951,721109,701154
32,2,222,강남,696343,743579,899042,864957,850944,887275,800355,744302,716032,801352,922037,893191
33,2,223,교대(2),298363,288828,371504,363519,340315,366650,327414,309569,306068,337978,378142,363256
34,2,224,서초,182515,180514,229833,230474,217465,234549,201435,188773,187195,212383,243044,231818
35,2,225,방배,141579,137239,192025,179417,171428,177080,146250,139264,150574,171183,191490,173026
36,2,226,사당(2),285035,293675,365980,361292,357342,359850,305427,293440,306332,360567,399015,369679
37,2,227,낙성대,256389,247652,305599,302101,299099,301295,274710,268276,264881,294291,305858,300627
38,2,228,서울대입구,427207,427218,521715,513138,511250,516494,467811,452165,449611,502393,526497,516332
39,2,229,봉천,211149,201638,247851,245945,237867,241668,221535,212973,213861,233613,240987,237286
40,2,230,신림,606227,588283,708675,697009,692008,698488,646050,625736,621007,684048,708688,711246
41,2,231,신대방,262780,255862,313606,315676,308664,312161,286532,275812,278015,303934,315832,309480
42,2,232,구로디지털단지,634805,613519,774419,763961,710312,757772,683011,635817,625232,682944,760986,751104
43,2,233,대림(2),217938,216173,268166,266909,261988,265550,236182,226220,230206,252946,262677,253772
44,2,234,신도림,555535,562373,703376,691324,684395,694151,610512,569882,581859,669111,704894,677359
45,2,235,문래,246955,243722,305270,304706,291999,307812,275085,255922,254886,281267,315364,307188
46,2,236,영등포구청(2),224704,215923,269531,266242,251490,265958,242640,225254,226005,250209,275127,272808
47,2,237,당산,184668,181834,239370,240339,227732,235186,201524,190116,196009,218652,236870,228017
48,2,238,합정(2),318423,341093,420378,412101,418308,428514,360495,356947,361390,414928,449456,435082
49,2,239,홍대입구,614192,742234,862868,826498,920788,887779,673797,714148,749144,870118,939581,932395
50,2,240,신촌,355631,379655,466227,451967,464828,459779,414704,397510,402346,441432,475013,459265
51,2,241,이대,132501,139407,188576,177497,188495,187088,161421,157087,163182,182023,206339,190075
52,2,242,아현,96178,92848,122568,121601,119619,121648,108403,105525,109207,118839,121204,116684
53,2,243,충정로(2),90007,87573,112286,111224,104297,111577,98751,91371,91195,100840,113501,110570
54,2,244,용답,18217,17479,24852,24592,24005,23340,19963,19514,19930,22451,24924,23235
55,2,245,신답,8575,8071,10365,9807,9552,9598,8666,8168,8242,9063,9465,9600
56,2,246,신설동(2),43880,43133,50088,50046,50624,48809,44098,43058,43509,39520,50999,50343
57,2,247,도림천,19423,18541,23315,23237,21912,23150,20533,18939,18345,20307,21880,22032
58,2,248,양천구청,86628,86302,107135,107052,103833,106892,95083,90148,93075,102883,108438,104903
59,2,249,신정네거리,126103,126680,160161,160838,157207,158097,145803,140148,141343,156161,163241,156995
60,2,250,용두,17996,17343,20872,20355,19629,20475,20270,18928,18375,19065,20472,21793
61,3,309,지축,44939,47101,60765,61074,59446,62861,59480,60458,61121,67458,70633,69692
62,3,310,구파발,252592,255810,314999,314783,311668,318276,288805,279269,281060,316031,328357,314153
63,3,311,연신내(3),397018,395780,479348,472107,467558,471647,429085,416779,421612,459569,476188,467986
64,3,312,불광(3),190803,191020,234084,231827,231535,232074,207794,199515,210008,232198,237757,226314
65,3,313,녹번,154343,147941,183897,180002,177768,185485,169885,163094,164659,180908,192810,191928
66,3,314,홍제,203404,198721,253219,250382,241981,240272,217877,209587,214744,238799,247639,240842
67,3,315,무악재,49155,47866,59856,58512,56083,57360,52100,50311,51393,56486,59478,58007
68,3,316,독립문,80116,82923,104447,108062,107138,103186,86672,86126,93383,106181,110190,97034
69,3,317,경복궁,203399,231373,275524,288286,298842,294980,253677,250265,278235,326153,374237,302224
70,3,318,안국,222516,251706,334725,321249,323121,327316,267908,264344,289340,348167,391942,335634
71,3,319,종로3가(3),132519,142513,180956,177286,177522,181584,155000,150464,154918,177183,185387,181356
72,3,320,을지로3가(3),91469,88342,112159,110022,105281,115320,103025,95726,92131,102637,118332,118253
73,3,322,동대입구,110844,112620,153562,160219,147952,143159,124384,123786,133345,153704,172858,157058
74,3,323,약수(3),135928,133997,165809,163297,159477,165247,149512,141891,144683,158195,168742,167897
75,3,324,금호,94565,92967,114174,111447,108006,110193,99728,95273,94912,103238,107923,108021
76,3,325,옥수,119744,120449,147263,146277,143925,146178,130564,126557,127903,140944,146792,142334
77,3,326,압구정,503624,505292,599141,583709,568346,595621,548213,512067,504220,550049,606876,625375
78,3,327,신사,519090,526516,614406,594510,578123,601253,536565,512674,505841,577230,630020,632394
79,3,328,잠원,58371,58997,73561,72496,69876,72904,63946,61012,62845,69405,75254,72713
80,3,329,고속터미널(3),453570,522117,575337,573765,609861,590573,511413,495195,546298,602398,624218,620430
81,3,330,교대(3),111979,106443,134865,133177,123468,134383,120226,112532,110805,121518,137887,133261
82,3,331,남부터미널,465155,474346,565622,548360,556728,570403,506432,493213,486035,534388,578848,563307
83,3,332,양재,583792,561384,716962,712602,673800,719247,642906,603251,592769,663624,745495,725777
84,3,333,매봉,181223,171491,213040,214256,200300,216666,200729,186389,181917,196265,219541,217042
85,3,334,도곡,70081,67376,86172,84510,80189,82004,73810,68765,67481,75616,85262,79880
86,3,335,대치,135711,133410,159486,152189,150400,154780,149637,144209,140747,149513,158565,150207
87,3,336,학여울,22168,23892,31797,37362,35867,33444,26009,21835,29367,36458,38831,33012
88,3,337,대청,107511,103397,129300,126818,122045,128912,120346,115797,114098,125725,135400,132652
89,3,338,일원,126521,117669,147323,147167,138408,151037,135815,131664,131173,139837,152748,150171
90,3,339,수서,188239,190156,241421,243984,241638,248426,220533,211237,211031,242907,256392,253856
91,3,340,가락시장(3),93644,91936,114122,111230,105525,109756,98047,92820,90877,101036,112148,108505
92,3,341,경찰병원,113901,105435,128833,126433,118206,123395,112768,107589,104131,113222,125881,124073
93,3,342,오금(3),56043,52995,65720,64864,62128,64768,59036,55833,55470,60280,66406,64586
94,4,409,당고개,103716,103296,127873,128645,129141,130255,120291,116342,116648,127304,131394,128588
95,4,410,상계,196532,192066,236240,235739,229747,234542,215187,205389,209749,226964,236278,232446
96,4,411,노원(4),159707,163104,201371,197522,196614,198880,180289,172811,172708,191003,205118,199787
97,4,412,창동,345169,347218,423802,414172,407465,414521,374792,361399,362317,394411,420771,408708
98,4,413,쌍문,329283,321407,392279,388963,376279,390298,356985,342389,341567,370450,387116,386801
99,4,414,수유,407372,399371,490218,486363,474853,482268,445571,430536,430549,469140,492368,489857
100,4,415,미아,166477,163051,202461,199095,194788,195920,179702,171489,175719,191484,199058,195660
101,4,416,미아사거리,314576,306761,377955,373271,365855,371433,340929,323717,326018,358833,375365,370749
102,4,417,길음,232490,227260,287397,283708,273285,278483,246126,238277,244624,269723,290572,279805
103,4,418,성신여대입구,216411,218202,273602,264122,267806,261643,237575,231249,234015,264135,281833,271547
104,4,419,한성대입구,171174,171862,217627,217431,217255,215668,185573,180367,187633,209329,224702,211695
105,4,420,혜화,393273,429255,540705,523291,540187,540198,467652,466532,465938,536647,605008,579029
106,4,421,동대문(4),241365,238104,314541,308634,307173,313618,284558,251642,261106,294988,309216,293932
107,4,422,동대문역사문화공원(4),94558,93473,116752,112644,112307,117144,105494,101013,100835,112014,122669,122843
108,4,423,충무로(4),282158,274265,352497,350044,331641,349634,311295,292852,297412,332149,371430,350985
109,4,424,명동,227930,241018,296883,304360,294234,320123,262430,253663,269894,309953,350224,413629
110,4,425,회현,323039,323219,431512,427296,417251,434507,375365,346428,361388,416747,440292,476355
111,4,426,서울역(4),190351,197675,241043,244867,242931,254579,210256,200204,202881,243713,291357,274095
112,4,427,숙대입구,149510,152146,197869,193082,186235,192290,165861,158057,162914,182298,205900,193925
113,4,428,삼각지(4),54698,54551,72456,73618,72358,76974,66517,63745,65644,76224,83509,77415
114,4,429,신용산,200301,203385,260063,253365,249105,270384,232853,221215,219604,246353,290413,279089
115,4,430,이촌,108615,117033,145287,146556,149677,153565,131823,129589,129201,140719,150165,145037
116,4,431,동작,36526,37999,49886,52380,50766,51471,38685,35015,37390,37569,36005,28739
117,4,432,이수(총신대입구),337632,337164,413970,405436,396912,405181,368259,354385,359584,407357,411153,403776
118,4,433,사당(4),232262,234724,297897,293312,292884,294395,251694,240242,250454,294002,325732,303947
119,4,434,남태령,16378,16267,22152,21668,20195,21106,17442,16327,17755,19392,21574,20278
120,5,2511,방화,68597,66335,82118,81273,79165,81372,74170,71911,72236,79276,83382,81522
121,5,2512,개화산,53006,52824,65822,65855,63909,66057,59646,58397,58314,64837,68188,66800
122,5,2513,김포공항(5),57434,67762,75608,77333,78348,77094,72408,65811,63541,74523,75341,74289
123,5,2514,송정,50981,51606,63173,63140,62279,60270,54633,53186,54444,59981,61806,58857
124,5,2515,마곡,90179,87158,116391,116419,112505,118418,107409,99512,96790,107199,121557,119895
125,5,2516,발산,176196,178328,237065,235316,229719,238656,205477,196794,199094,226139,251349,237634
126,5,2517,우장산,137082,136197,172931,173253,167302,170434,148722,143743,145418,163119,175551,169003
127,5,2518,화곡,278472,273035,334730,330574,321936,328399,297567,286207,286017,315403,330717,328925
128,5,2519,까치산(5),358154,350665,426645,424719,412469,416114,384162,370205,370444,405145,419518,418537
129,5,2520,신정,118371,114929,142006,140495,135446,139009,127289,121824,121037,133161,140748,139923
130,5,2521,목동,207303,200820,248462,245067,238788,245893,219320,210781,209091,228738,242539,239793
131,5,2522,오목교,268555,270231,330767,324482,317762,323506,292030,274443,269167,302553,327042,324982
132,5,2523,양평(5),79298,75188,92406,90800,86720,91339,82414,78123,76170,83057,90652,92030
133,5,2524,영등포구청(5),18775,18007,22664,22573,20928,22429,20171,19096,18898,20408,22739,22334
134,5,2525,영등포시장,89750,89310,111654,110837,108620,113117,100065,96628,95298,109825,120968,119347
135,5,2526,신길(5),40071,39066,47953,46994,44836,45788,41990,40489,39673,44585,47036,48040
136,5,2527,여의도(5),279237,287447,393073,377920,346327,376915,310374,294794,289878,322457,382232,375842
137,5,2528,여의나루,91161,137786,261038,270322,267499,229258,146167,151138,197424,215898,192315,150683
138,5,2529,마포,190453,185580,229279,228023,216337,226918,201560,191990,188451,207788,234944,232726
139,5,2530,공덕(5),154760,152195,193058,188721,172390,184937,160930,149342,148095,164832,188906,183098
140,5,2531,애오개,82754,79631,99573,98895,94017,98867,89377,83780,81740,89061,97899,97627
141,5,2532,충정로(5),45921,44035,58295,56997,53018,57369,49996,45130,45337,48995,55733,54557
142,5,2533,서대문,212215,206936,256969,254183,236889,259123,229276,214993,210744,231497,269852,256344
143,5,2534,광화문,305988,311181,381611,365784,354895,376658,341710,318066,305812,338451,400887,393005
144,5,2535,종로3가(5),87553,104490,128961,126417,134314,133130,111093,109478,113116,133841,141269,134420
145,5,2536,을지로4가(5),30060,30965,39448,38104,36895,39599,35879,33086,33112,37112,40132,39251
