연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
146,5,2537,동대문역사문화공원(5),29268,27960,34557,33233,30976,34433,30917,29511,28421,30775,35581,35531
147,5,2538,청구(5),34213,33062,40741,40017,37677,39837,36667,35548,35720,38373,40690,40789
148,5,2539,신금호,79499,76974,96901,96861,93780,98756,87828,84319,86947,95767,100522,100520
149,5,2540,행당,93352,89426,110489,109073,106154,110462,98156,95956,95245,104586,110553,109171
150,5,2541,왕십리(5),23247,23519,28017,27475,27322,27669,25401,24023,23646,27195,29441,30030
151,5,2542,마장,62107,60515,70790,69004,67954,68809,61882,59986,63327,66178,71202,72048
152,5,2543,답십리,194759,186217,230097,226171,217664,224915,206815,197745,194636,211896,226616,231706
153,5,2544,장한평,266435,254085,316660,310933,298850,314219,290591,274313,270407,297431,321898,320025
154,5,2545,군자(5),113627,112898,141077,137202,135798,137176,123863,118929,117291,132287,141361,140845
155,5,2546,아차산,179792,176400,220628,225536,225608,210572,186933,185005,190441,211941,216192,211566
156,5,2547,광나루,122554,122268,154508,153154,152145,154194,134433,127861,132956,153687,162216,156953
157,5,2548,천호(5),175423,172528,209953,203328,200549,201824,183298,175999,176524,197714,206892,205198
158,5,2549,강동,250552,239713,296194,281113,270085,280426,255241,242724,239038,266759,281748,279319
159,5,2550,길동,100416,95790,116122,114664,111361,113703,105958,101100,99157,108237,115056,117030
160,5,2551,굽은다리,108730,103825,126900,124112,119929,124854,116924,110076,107515,119242,126080,128389
161,5,2552,명일,97426,94840,117196,115079,110249,114700,100572,95679,95126,106893,115715,113153
162,5,2553,고덕,94590,93051,116643,113337,109383,114435,104037,101624,99982,112845,119904,116398
163,5,2554,상일동,187055,184369,229474,204909,194301,203729,183181,172343,170816,187976,202005,197338
164,5,2555,둔촌동,110348,107948,133564,131444,128786,132675,120474,114159,113665,126198,133897,133036
165,5,2556,올림픽공원(5),38075,37212,46575,47564,48015,50216,44344,40621,43371,52955,54304,52838
166,5,2557,방이,81128,78848,97569,94243,91750,95574,86775,83255,83283,92925,100284,99655
167,5,2558,오금(5),27407,26040,32734,33539,32062,33189,30656,29021,29007,32301,34865,33774
168,5,2559,개롱,76343,74068,91531,90950,88147,91795,84881,81359,80717,88835,93877,92233
169,5,2560,거여,93516,91272,116616,115847,111928,119593,110642,108010,109557,123108,132499,133271
170,5,2561,마천,81818,79491,98840,99765,98469,102365,92593,88292,89712,101445,109061,108161
171,5,2562,강일,,,6289,41288,41540,44854,39906,38093,40205,45931,50876,50311
172,5,2563,미사,167250,157355,193625,184844,179620,188097,170374,165578,166888,188668,202312,200126
173,5,2564,하남풍산,55001,53830,63597,43316,42566,45798,42826,40258,39836,44123,48065,47221
174,5,2565,하남시청,,,8103,52017,53470,55794,50937,50478,53572,61534,66284,65737
175,5,2566,하남검단산,,,8453,49901,50674,51781,45108,44490,46181,52717,54924,55246
176,6,2611,응암,241159,234685,288413,288046,276861,285858,263564,252472,250108,272416,287850,287077
177,6,2612,역촌,55720,53673,64794,62343,62390,65317,61908,59894,59325,63554,67283,67724
178,6,2613,불광(6),39338,39346,49126,48699,47871,48315,43553,41348,41850,46244,47762,47085
179,6,2614,독바위,38351,37894,45295,44903,43844,44753,41056,39486,39586,43545,44601,43943
180,6,2616,구산,77660,75577,93714,92443,89959,92312,87044,85384,84480,91834,96337,96149
181,6,2617,새절,162347,159016,197388,197440,188222,194458,175034,167200,167978,185453,196369,193007
182,6,2618,증산,135939,132116,161476,160220,155006,159800,146252,140733,140150,154033,162851,162474
183,6,2619,디지털미디어시티(6),188980,181467,226891,225271,209125,226177,201239,187272,183418,201043,225788,219634
184,6,2620,월드컵경기장,48435,50110,64351,69617,65401,65215,55733,54656,63060,90845,69331,52508
185,6,2621,마포구청,160542,157716,192422,190115,184768,192682,177937,168817,165039,181068,195437,197533
186,6,2622,망원,196582,210811,247026,243760,250481,248039,215887,215259,221587,237184,242839,246425
187,6,2623,합정(6),77723,82862,102625,101541,100326,103849,88131,86704,86778,99375,109183,105797
188,6,2624,상수,109391,117813,141699,139523,144399,150760,124557,128612,124916,142077,158554,160190
189,6,2625,광흥창,91143,90771,113752,111689,107239,112071,101368,97882,96595,104740,115573,115347
190,6,2626,대흥,96498,93654,119535,116370,113737,118614,109090,104074,101595,109564,121045,117067
191,6,2627,공덕(6),179268,178589,224387,222213,206359,220831,193035,182124,181187,201058,229316,223991
192,6,2628,효창공원앞,79362,77568,97227,95125,92413,96261,85611,80604,81220,89133,97253,95939
193,6,2629,삼각지(6),39018,39778,50919,51238,50169,54263,47678,46175,45734,52716,57440,56117
194,6,2630,녹사평,59563,66368,82095,83273,87889,85876,68907,70199,74669,85588,84711,83191
195,6,2631,이태원,134605,152736,190095,189710,198087,195122,152235,149498,174246,225317,221447,205191
196,6,2632,한강진,94330,116704,149085,147197,141361,154010,126978,116853,131125,156359,162297,175138
197,6,2633,버티고개,32171,31085,37987,37328,36979,35129,30922,30453,30231,27833,31789,34529
198,6,2634,약수(6),42397,41917,51621,51216,49869,51935,47844,44874,44486,50364,52798,52059
199,6,2635,청구(6),36591,35426,45390,43596,42069,43935,40682,38915,39232,42418,44171,43964
200,6,2636,신당(6),81324,80238,103932,104261,101927,105340,98635,95969,98097,106852,107600,114185
201,6,2637,동묘앞(6),110779,111294,136696,137034,139254,136018,127133,121244,122731,135386,136801,131914
202,6,2638,창신,43750,42204,54550,54014,51526,53982,47313,45356,45442,49443,53715,53057
203,6,2639,보문,84308,81776,99246,97807,96998,98449,90025,86627,86355,93437,99881,100384
204,6,2640,안암,139860,142863,192084,183297,183537,184711,154484,149021,155248,173240,201239,186839
205,6,2641,고려대,106241,107359,132601,131004,128107,130587,114261,109505,111529,122323,134390,130049
206,6,2642,월곡,166928,161422,200525,197320,192213,197299,182949,173223,172182,188632,204486,199841
207,6,2643,상월곡,83815,80881,102145,102128,99712,103089,93677,89345,90207,98480,104033,100472
208,6,2644,돌곶이,119804,118790,152835,150348,148061,152700,138305,132455,131568,143595,161109,153645
209,6,2645,석계(6),192388,188245,232639,230443,224911,230680,208682,200475,202033,222616,238125,232313
210,6,2646,태릉입구(6),64120,64998,81493,79922,86339,81541,72902,70793,70673,77941,84072,81317
211,6,2647,화랑대,133552,131162,164678,164225,160412,166615,148277,140882,142354,161173,174891,170095
212,6,2648,봉화산,126681,123025,151504,149178,143798,150933,139252,131457,131514,143587,153686,151529
213,7,2711,장암,9854,10833,13815,14452,14996,15227,13514,13344,13643,14927,14504,12692
214,7,2712,도봉산(7),113852,114112,142747,145900,144283,146093,129433,123786,128612,147650,150708,139693
215,7,2713,수락산,152591,150889,184328,183442,179652,184273,168725,162912,163646,179518,180387,175775
216,7,2714,마들,151874,146465,177652,175822,170297,177211,165191,159240,158498,172791,183749,182799
217,7,2715,노원(7),172443,172811,212519,210476,205874,211731,196943,186558,184441,202261,216902,213956
218,7,2716,중계,156148,152298,192389,193302,184478,193247,172387,163542,167887,185145,195959,192977
219,7,2717,하계,197932,192623,240103,237530,230287,238705,213823,205214,207298,228859,243642,240689
220,7,2718,공릉,137754,136323,173626,171348,168494,171719,148941,142608,148987,165583,178116,173853
221,7,2719,태릉입구(7),64963,64592,80876,82808,92008,84608,75271,72134,72840,82682,87549,84594
222,7,2720,먹골,117480,113187,137999,135394,133819,137060,127237,121431,120823,133570,139357,137933
223,7,2721,중화,119788,114597,140125,139447,134756,137082,127611,121912,120348,131434,138004,136948
224,7,2722,상봉(7),179594,174335,211337,210359,208865,214183,194564,185243,184704,204181,216855,214348
225,7,2723,면목,189221,180601,227034,227374,216674,223194,203836,197995,196455,218148,232491,232177
226,7,2724,사가정,198693,193048,236082,232603,227647,234483,212750,204742,203855,224337,234388,230447
227,7,2725,용마산,74630,74600,91914,91587,89739,91447,82306,79226,81148,88932,92601,90130
228,7,2726,중곡,123175,118358,143547,140894,136836,140513,131687,126360,126342,139681,151418,158741
229,7,2727,군자(7),104783,102054,125250,124013,121329,124998,115914,111056,109430,120405,127691,127791
230,7,2728,어린이대공원,135037,129894,178112,183225,181147,175015,147960,141945,149007,167067,185600,171696
231,7,2729,건대입구(7),95834,92666,117989,114415,118418,116220,104089,101824,103873,117661,128483,127232
232,7,2730,뚝섬유원지,75899,88729,116359,142299,143160,128740,97434,96499,121847,123422,106001,93900
233,7,2731,청담,182201,179132,224219,219465,209795,219633,193506,179924,177292,203166,229985,225514
234,7,2732,강남구청,131630,128910,163324,162311,154107,166272,148240,140247,138037,157265,173775,169857
235,7,2733,학동,249984,238193,300966,296697,277044,303325,270626,248798,240556,271744,314206,310189
236,7,2734,논현,176657,171211,210275,207464,199151,213777,197112,186523,179785,197873,218954,218507
237,7,2735,반포,43651,42898,53453,52864,51465,53182,48288,45833,45610,50319,53287,52367
238,7,2736,고속터미널(7),110940,111685,136929,136803,136244,142681,122263,117835,121719,138124,150678,143818
239,7,2737,내방,145594,139286,169661,165673,160166,170643,159092,150627,148510,159727,175894,173561
240,7,2738,이수(7),151935,152184,188216,182402,180650,188387,173086,164488,160477,179087,193911,193073
241,7,2739,남성,117932,111225,136890,134922,133202,136299,125177,119577,118082,128839,137435,138262
242,7,2740,숭실대입구,112596,107571,145391,144475,135736,142560,116958,113950,120806,144930,161424,147243
243,7,2741,상도,92709,88121,111367,109293,109631,111192,99735,96583,96665,106296,116373,112221
244,7,2742,장승배기,85687,82194,100121,98137,95131,98731,90014,85111,84488,92171,96756,96137
245,7,2743,신대방삼거리,152606,143849,175686,174397,167544,173517,161271,154834,152230,167083,179279,179969
246,7,2744,보라매,89264,86199,107409,107651,103151,109221,96864,93370,93449,104595,113416,110236
247,7,2745,신풍,110054,107832,133380,132770,130517,135405,122569,115549,115703,129603,136054,132244
248,7,2746,대림(7),62853,65291,76556,76776,81378,84502,76036,75724,76628,82321,84550,81398
249,7,2747,남구로,160471,153332,183574,183269,178003,193730,179140,168689,165246,176045,189803,188546
250,7,2748,가산디지털단지(7),539270,508345,636237,628506,578930,650969,587130,535778,524253,562596,646643,631785
251,7,2749,철산,257150,252895,311893,312281,306131,315500,280906,267198,267969,292418,318752,315041
252,7,2750,광명사거리,245368,239242,291749,286318,282949,290937,266258,255733,257436,284192,299181,295140
253,7,2751,천왕,96276,93024,117618,118930,115446,121569,108999,103359,104070,114678,123246,121680
254,7,2752,온수(7),55070,52675,68912,68125,65060,71073,61177,57865,57488,67558,75630,70471
255,7,2753,까치울,57440,56462,71650,73002,72671,77650,69683,67190,68446,77597,80430,76868
256,7,2754,부천종합운동장,33143,32543,43598,41276,40377,43722,40604,37497,39995,43349,45728,45978
257,7,2755,춘의,89092,83049,101876,101625,98010,109490,103708,97885,97029,106262,115657,115899
258,7,2756,신중동,148767,146959,182194,180702,178552,194421,176961,165369,166696,186199,200543,197718
259,7,2757,부천시청,130965,129944,160240,157995,159610,172697,158806,150155,151050,168716,177624,177682
260,7,2758,상동,130111,130318,161289,159692,162366,180113,163008,154267,156489,179612,192735,189317
261,7,2759,삼산체육관,43716,44627,57802,60254,60167,67923,59010,57428,59122,65312,69749,68590
262,7,2760,굴포천,91210,90379,111773,111633,113114,126398,115014,110164,111430,124117,132517,132341
263,7,2761,부평구청(7),61496,60595,75864,75198,70668,69489,63269,60011,60928,68234,73468,72804
264,8,2811,암사,256689,247249,305266,303476,294013,303523,278432,268321,263461,288352,304501,302282
265,8,2812,천호(8),194768,191575,233320,225760,221718,226213,203788,193938,192445,217324,230874,231752
266,8,2813,강동구청,164249,156044,190509,186252,178951,187626,171440,163634,160384,174273,191033,190926
267,8,2814,몽촌토성,84314,80604,102024,104222,101232,104925,93696,89083,90642,107128,116416,108699
268,8,2815,잠실(8),155659,159065,194888,190551,195366,198938,175146,167783,168780,200374,217944,225833
269,8,2816,석촌(8),123440,121602,150782,148814,145895,147991,134323,130111,130135,144974,152044,152169
270,8,2817,송파,119808,114824,141820,137929,131703,135553,121505,116453,116345,127449,136578,134596
271,8,2818,가락시장(8),102373,99325,121705,119638,114003,117876,105167,99665,97395,107578,122734,118065
272,8,2819,문정,362562,340298,427329,421209,384260,420877,380769,353877,343727,378514,430216,421548
273,8,2820,장지,264741,243317,303403,293993,282245,295016,272178,256747,252266,281601,301951,303070
274,8,2821,복정(8),158723,153675,208082,206205,195749,204197,181271,170650,173786,197658,214274,193477
275,8,2822,산성,93726,88832,107811,106144,99329,99250,86262,82281,83121,94212,99606,90428
276,8,2823,남한산성입구,178551,168436,210356,215540,204790,214686,185468,177813,178491,204415,217712,212127
277,8,2824,단대오거리,146438,136500,168142,168164,163483,166917,153688,146442,144252,159033,169167,168585
278,8,2825,신흥,67920,63908,75501,75673,74577,74728,70788,67133,65210,69867,72579,73913
279,8,2826,수진,65412,60901,72831,72706,71413,72922,68246,65547,63769,69201,73859,74474
280,8,2827,모란(8),14587,15163,19342,19468,19461,19242,17005,16499,16867,20945,20569,18565
281,8,2828,남위례,,,,,,,,,,,,27068
282,9,4126,언주,182090,176594,216035,214128,204951,222543,206480,193778,187249,211974,236748,237032
283,9,4127,선정릉,175555,175945,223757,222551,209764,225604,199560,188684,186911,210281,232343,224977
284,9,4128,삼성중앙,120434,119327,147723,143094,134446,145846,128719,122096,117825,131579,150125,147532
285,9,4129,봉은사,261207,268693,347094,331720,337781,356146,300846,295122,280326,329755,385995,391802
286,9,4130,종합운동장(9),75095,74815,93153,91476,89408,93959,85527,80065,76809,84755,95666,90697
287,9,4131,삼전,112328,108326,129400,126814,124911,129738,121404,117373,114850,126890,134311,136276
288,9,4132,석촌고분,104898,99299,121609,117929,115400,121290,114160,109783,106825,116014,124026,126964
289,9,4133,석촌(9),114326,117747,148748,147147,145156,149391,132894,130983,132529,149396,156895,153863
290,9,4134,송파나루,80706,82644,100339,96699,98650,101645,94509,92584,89527,99780,106827,110774
291,9,4135,한성백제,33384,32436,39962,39210,38910,41130,38400,37049,36701,43608,44091,41155
292,9,4136,올림픽공원(9),87444,88955,112513,117825,121269,134216,114621,103123,113848,152245,150608,155070
293,9,4137,둔촌오륜,13569,13718,18853,17955,17411,18261,16189,15360,16179,18085,18583,18622
294,9,4138,중앙보훈병원,136076,134353,174023,172549,165380,181539,168861,166239,162107,178916,184239,180902
